ID,name,city,state,addr,zip,night,beginner,max_price,min_price,intermediate,elev,park,advanced,dates,rating,lfits,area,expert,total_runs,link,avg_snowfall
214,Powder Mountain,Eden,UT,P.O. Box 450,84310,TRUE,25,69,0,40,6900ft - 9422ft,2,35,12/14-4/ 5,3.3,7,7000,0,144,http://www.onthesnow.com/utah/powder-mountain/ski-resort.html,500
215,Powder Ridge Park,Middlefield,CT,99 Powder Hill Road,6455,TRUE,42,55,19,37,170ft - 720ft,4,21,1/ 8-3/28,0,5,80,0,19,http://www.onthesnow.com/connecticut/powder-ridge-park/ski-resort.html,80
216,Powder Ridge Ski Area,Kimball,MN,P.O. Box 339,55353,TRUE,40,N/A,N/A,40,500ft - 790ft,4,20,12/18-3/22,3.1,6,60,0,15,http://www.onthesnow.com/minnesota/powder-ridge-ski-area/ski-resort.html,45
217,Purgatory,Durango,CO,#1 Skier Place,81301,FALSE,20,85,38,45,8793ft - 10822ft,5,30,11/21-4/10,3.8,9,1360,5,91,http://www.onthesnow.com/colorado/durango-mountain-resort/ski-resort.html,260
218,Q Burke Mountain Resorts,East Burke,VT,P.O. Box 247,5832,FALSE,14,64,0,42,1210ft - 3267ft,1,34,1/ 6-4/ 5,2.8,6,270,10,50,http://www.onthesnow.com/vermont/burke-mountain/ski-resort.html,217
219,Ragged Mountain Resort,Danbury,NH,620 Ragged Mountain Road,3230,FALSE,23,79,45,30,1000ft - 2250ft,3,39,12/ 5-4/10,3,7,240,7,56,http://www.onthesnow.com/new-hampshire/ragged-mountain-resort/ski-resort.html,100
220,Red Lodge Mountain,Red Lodge,MT,P.O. Box 750,59068,FALSE,17,N/A,N/A,45,7016ft - 9416ft,0,28,11/27-4/ 3,3.2,7,1600,10,71,http://www.onthesnow.com/montana/red-lodge-mountain/ski-resort.html,250
221,Red River Ski Area,Red River,NM,400 Pioneer Rd,87558,FALSE,32,68,38,38,8750ft - 10350ft,3,30,11/25-3/20,3,7,257,0,58,http://www.onthesnow.com/new-mexico/red-river/ski-resort.html,218
222,Roundtop Mountain Resort,Lewisberry,PA,925 Roundtop Rd.,17339,TRUE,20,72,33,25,800ft - 1400ft,2,40,1/ 6-3/22,2.9,8,103,15,20,http://www.onthesnow.com/pennsylvania/roundtop-mountain-resort/ski-resort.html,30
223,Royal Mountain Ski Area,Caroga,NY,3072 State Highway 10,12032,FALSE,33,40,0,34,1250ft - 1800ft,0,33,1/ 1-4/19,3,3,35,0,14,http://www.onthesnow.com/new-york/royal-mountain-ski-area/ski-resort.html,90
224,Saddleback Inc.,Rangeley,ME,P.O. Box 490,4970,FALSE,35,69,0,30,2460ft - 4120ft,2,25,2/ 9-4/19,3.3,5,440,10,66,http://www.onthesnow.com/maine/saddleback-inc/ski-resort.html,200
225,Sandia Peak,Albuquerque,NM,10 Tramway Loop N.E.,87122,FALSE,31,55,30,46,8677ft - 10377ft,1,23,12/26-3/13,2.7,5,200,0,39,http://www.onthesnow.com/new-mexico/sandia-peak/ski-resort.html,49
226,Sapphire Valley,Cashiers,NC,P.O. Box 2048,28717,TRUE,0,36,20,0,3200ft - 3450ft,1,0,1/ 9-3/ 8,2.3,3,8,0,2,http://www.onthesnow.com/north-carolina/sapphire-valley/ski-resort.html,24
227,Schweitzer,Sandpoint,ID,"10,000 Schweitzer Mountain Road",83864,TRUE,10,73,40,40,4000ft - 6400ft,3,35,11/25-4/10,3.6,9,2900,15,92,http://www.onthesnow.com/idaho/schweitzer/ski-resort.html,300
228,Seven Oaks,Boone,IA,1086 222nd Drive,50036,TRUE,25,N/A,N/A,50,800ft - 975ft,2,25,12/30-3/ 8,2.3,4,35,0,11,http://www.onthesnow.com/iowa/seven-oaks/ski-resort.html,40
229,Seven Springs,Seven,PA,777 Waterwheel Drive,15622,TRUE,36,65,0,42,2240ft - 2993ft,7,18,12/23-4/ 5,3,14,285,3,33,http://www.onthesnow.com/pennsylvania/seven-springs/ski-resort.html,142
230,Shanty Creek Resorts – Schuss Mountain,Bellaire,MI,One Shanty Creek Road,49615,TRUE,24,64,40,24,675ft - 1125ft,5,51,12/21-3/22,3,6,70,0,41,http://www.onthesnow.com/michigan/shanty-creek/ski-resort.html,180
231,Shanty Creek Resorts – Summit Mountain,Bellaire,MI,5780 Shanty Creek Rd,49615,FALSE,18,28,20,45,675ft - 1125ft,1,36,1/19-3/15,0,3,N/A,0,11,http://www.onthesnow.com/michigan/shanty-creek-resorts-–-summit-mountain/ski-resort.html,180
232,Shawnee Mountain Ski Area,Shawnee,PA,P.O. Box 339,18356,TRUE,26,60,35,48,650ft - 1350ft,2,26,12/26-3/27,3.1,10,125,0,23,http://www.onthesnow.com/pennsylvania/shawnee-mountain-ski-area/ski-resort.html,50
233,Shawnee Peak,Bridgton,ME,119 Mountain Road,4009,TRUE,25,N/A,N/A,45,600ft - 1900ft,2,20,12/12-4/ 5,2.9,5,239,10,43,http://www.onthesnow.com/maine/shawnee-peak/ski-resort.html,110
234,Showdown Montana,Neihart,MT,P.O. Box 92,59465,FALSE,28,43,0,44,6800ft - 8200ft,1,28,12/18-4/ 4,3.1,4,640,0,36,http://www.onthesnow.com/montana/showdown-ski-area/ski-resort.html,250
235,Sierra-at-Tahoe,Twin Bridges,CA,1111 Sierra-at-Tahoe Road,95735,FALSE,25,93,29,50,6639ft - 8852ft,5,15,11/20-4/30,3.3,14,2000,10,46,http://www.onthesnow.com/california/sierra-at-tahoe/ski-resort.html,480
236,Silver Mountain,Kellogg,ID,610 Bunker Avenue,83837,TRUE,20,54,0,40,4100ft - 6300ft,3,30,12/18-3/29,3,7,1600,10,80,http://www.onthesnow.com/idaho/silver-mountain/ski-resort.html,300
237,Silverton Mountain,Silverton,CO,P.O. Box 856,81433,FALSE,0,49,49,0,10400ft - 13487ft,0,0,12/21-4/12,2.9,1,1819,100,69,http://www.onthesnow.com/colorado/silverton-mountain/ski-resort.html,400
238,Sipapu Ski Resort,Vadito,NM,Null,87579,FALSE,20,44,22,40,8200ft - 9254ft,4,30,11/20-4/12,3,6,200,10,42,http://www.onthesnow.com/new-mexico/sipapu-ski-and-summer-resort/ski-resort.html,190
239,Ski Apache,Ruidoso,NM,Box 220,88312,FALSE,18,68,35,55,9600ft - 11500ft,3,27,11/26-4/ 3,3.1,9,750,0,55,http://www.onthesnow.com/new-mexico/ski-apache/ski-resort.html,185
240,Ski Big Bear,Lackawaxen,PA,HC1 BOX 1A 353,18435,TRUE,33,57,0,28,600ft - 1250ft,1,33,12/26-4/ 5,2.7,6,26,6,18,http://www.onthesnow.com/pennsylvania/big-bear/ski-resort.html,69
241,Ski Brule,Iron Mountain,MI,397 Brule Mountain Road,49935,TRUE,35,25,0,35,1360ft - 1860ft,3,24,11/22-4/20,4.5,11,150,6,17,http://www.onthesnow.com/michigan/ski-brule/ski-resort.html,150
242,Ski Butternut,Great,MA,380 State Road - Route 23,1230,FALSE,36,60,15,36,800ft - 1800ft,2,27,12/29-4/ 5,3,11,110,0,22,http://www.onthesnow.com/massachusetts/ski-butternut/ski-resort.html,115
243,Ski China Peak,Lakeshore,CA,P.O. Box 236,93634,FALSE,11,75,23,28,7029ft - 8708ft,3,33,11/27-4/ 3,3.1,11,450,28,45,http://www.onthesnow.com/california/ski-china-peak/ski-resort.html,300
244,Ski Cooper,Leadville,CO,P.O. Box 896,80461,FALSE,28,48,0,36,10400ft - 11700ft,2,36,11/27-4/10,3.3,4,400,0,39,http://www.onthesnow.com/colorado/ski-cooper/ski-resort.html,260
245,Ski Granby Ranch,Granby,CO,P.O. Box 1110,80446,TRUE,36,64,0,40,8202ft - 9202ft,6,24,12/17-3/27,3.1,5,406,0,40,http://www.onthesnow.com/colorado/ski-granby-ranch/ski-resort.html,220
