city,state,area,time,number,lat,lon,score
Redwood City,California,240,2.284983704,1,37.4852152,-122.2363548,105.0335718
Greensboro,North Carolina,297,11.32343349,4,36.0726354,-79.7919754,104.9151745
Alameda,California,240,2.30085079,1,37.7652065,-122.2416355,104.3092412
Oakland,California,240,2.366059739,1,37.8043637,-122.2711137,101.4344634
Greenville,North Carolina,220,4.3718898,2,35.612661,-77.3663538,100.642976
Fairfield,California,240,2.386696105,1,38.2493581,-122.0399663,100.5574189
Baltimore,Maryland,223,4.438669808,2,39.2903848,-76.6121893,100.4805537
Berkeley,California,240,2.39999597,1,37.8715926,-122.272747,100.0001679
Salinas,California,240,2.415427207,1,36.6777372,-121.6555013,99.36130524
San Mateo,California,240,2.426704043,1,37.5629917,-122.3255254,98.89957563
Vacaville,California,240,2.467107949,1,38.3565773,-121.9877444,97.27989408
Louisville/Jefferson County,Kentucky,185,3.848783596,2,38.2526647,-85.7584557,96.13426964
Vallejo,California,240,2.546904401,1,38.1040864,-122.2566367,94.23204103
Richmond,California,240,2.563886737,1,37.9357576,-122.3477486,93.60787921
San Francisco,California,240,2.613124298,1,37.7749295,-122.4194155,91.8440811
Washington,District of Columbia,248,8.273433273,3,38.9071923,-77.0368707,89.92639156
Daly City,California,240,2.683290576,1,37.6879241,-122.4702079,89.442419
Bloomington,Indiana,185,4.25257303,2,39.165325,-86.5263857,87.00614837
Alexandria,Virginia,248,8.65758832,3,38.8048355,-77.0469214,85.93617212
Napa,California,240,2.802319726,1,38.2975381,-122.286865,85.64333246
Ames,Iowa,35,0.414844778,1,42.0307812,-93.6319131,84.36890574
San Rafael,California,240,2.895875386,1,37.9735346,-122.5310874,82.87649432
Wilmington,North Carolina,220,5.620716426,2,34.2257255,-77.9447102,78.28183575
El Cajon,California,240,6.444142387,2,32.7947731,-116.9625269,74.48624986
Asheville,North Carolina,100,5.729648135,4,35.5950581,-82.5514869,69.81231492
Indianapolis,Indiana,185,5.450400035,2,39.768403,-86.158068,67.88492545
Richmond,Virginia,199,5.90566327,2,37.5407246,-77.4360481,67.39293824
Fishers,Indiana,185,5.981200708,2,39.9567548,-86.01335,61.8604889
Carmel,Indiana,185,6.152875929,2,39.978371,-86.1180435,60.1344809
Gastonia,North Carolina,142,7.437402608,3,35.262082,-81.1873005,57.27806097
Lexington-Fayette,Kentucky,120,2.410598184,1,38.0405837,-84.5037164,49.78017522
O'Fallon,Missouri,30,0.69594281,1,38.8106075,-90.6998477,43.10699034
St. Louis,Missouri,30,0.794347819,1,38.6270025,-90.1994042,37.76683118
Knoxville,Tennessee,73,5.808194187,3,35.9606384,-83.9207392,37.70535091
Kansas City,Kansas,30,0.811448884,1,39.114053,-94.6274636,36.9709055
Concord,North Carolina,77,4.252768331,2,35.4087517,-80.579511,36.21170682
Charlotte,North Carolina,77,4.435140054,2,35.2270869,-80.8431267,34.72269153
Kansas City,Missouri,30,0.887716099,1,39.0997265,-94.5785667,33.79458819
Des Moines,Iowa,35,1.114887303,1,41.6005448,-93.6091064,31.39330756
Winston-Salem,North Carolina,77,5.290348088,2,36.0998596,-80.244216,29.10961574
Overland Park,Kansas,30,1.032786877,1,38.9822282,-94.6707917,29.04761929
Evansville,Indiana,65,2.321900861,1,37.9715592,-87.5710898,27.99430462
Independence,Missouri,30,1.098069751,1,39.0911161,-94.4155068,27.32066882
Lawrence,Kansas,30,1.133181085,1,38.9716689,-95.2352501,26.47414469
Olathe,Kansas,30,1.18584607,1,38.8813958,-94.8191285,25.29839307
Fargo,North Dakota,65,6.14373989,2,46.8771863,-96.7898034,21.15974998
Lee's Summit,Missouri,30,1.427414056,1,38.9108408,-94.3821724,21.01702717
Topeka,Kansas,30,1.568699284,1,39.0558235,-95.6890185,19.12412424
Sioux City,Iowa,50,2.677101325,1,42.4999942,-96.4003069,18.67691728
Columbia,South Carolina,50,3.073228754,1,34.0007104,-81.0348144,16.2695341
Peoria,Illinois,28,2.51438829,1,40.6936488,-89.5889864,11.13590932
Columbia,Missouri,30,3.122063694,1,38.9517053,-92.3340724,9.609028817
Athens-Clarke County,Georgia,8,2.620932655,1,33.9519347,-83.357567,3.052348554
Johns Creek,Georgia,8,3.136506909,1,34.0289259,-84.198579,2.550608123
East Lansing,Michigan,0,0,0,0,0,1
Coeur d'Alene,Idaho,0,0,0,0,0,1
Beavercreek,Ohio,0,0,0,0,0,1
Minot,North Dakota,0,0,0,0,0,1
Harrisburg,Pennsylvania,0,0,0,0,0,1
Methuen,Massachusetts,0,0,0,0,0,1
Dover,Delaware,0,0,0,0,0,1
Covina,California,0,0,0,0,0,1
Glenview,Illinois,0,0,0,0,0,1
Logan,Utah,0,0,0,0,0,1
St. Louis Park,Minnesota,0,0,0,0,0,1
Dunwoody,Georgia,0,0,0,0,0,1
Cuyahoga Falls,Ohio,0,0,0,0,0,1
Wylie,Texas,0,0,0,0,0,1
Keizer,Oregon,0,0,0,0,0,1
Columbus,Indiana,0,0,0,0,0,1
Cypress,California,0,0,0,0,0,1
Maricopa,Arizona,0,0,0,0,0,1
Lawrence,Indiana,0,0,0,0,0,1
Wauwatosa,Wisconsin,0,0,0,0,0,1
La Crosse,Wisconsin,0,0,0,0,0,1
Newark,Ohio,0,0,0,0,0,1
Chesterfield,Missouri,0,0,0,0,0,1
Braintree Town,Massachusetts,0,0,0,0,0,1
Bedford,Texas,0,0,0,0,0,1
Draper,Utah,0,0,0,0,0,1
Alexandria,Louisiana,0,0,0,0,0,1
Binghamton,New York,0,0,0,0,0,1
